"id","Bank_Name","IFSC_Code"
"807","SANT SOPANKAKA SAHAKARI BANK LTD.","SSSX"
"808","SUNDARLAL SAWAJI URBAN CO-OP BANK LTD.","SSWX"
"809","SBM BANK (MAURITIUS) LTD.","STCB"
"810","STATE TRANSPORT CO-OP BANK LTD.","STCX"
"811","SARVA UP GRAMIN BANK","SUBX"
"812","SANGLI URBAN CO-OPERATIVE BANK LTD.","SUCX"
"813","SULAIMANI COOP BANK LTD.","SULX"
"814","THE SURAT MERCANTILE COOP BANK LTD.","SUMX"
"815","SURAT NATIONAL CO-OP. BANK LTD.","SUNB"
"816","SUVARNAYUG SAHAKARI BANK LTD.","SUVX"
"817","SARVODAYA COMMERICAL CO OP BANK LTD.","SVCX"
"818","THE SIVAGANGAI DISTRICT CENTRAL COOP BANK LTD.","SVGX"
"819","THE SARVODAYA SAHAKARI BANK LTD.","SVOX"
"820","SHREE VARDHAMAN SAHAKARI BANK LTD.","SVRX"
"821","SHRI VINAYAK SAHAKARI BANK LTD.","SVSX"
"822","SHREE WARANA SAHAKARI BANK LTD.","SWSX"
"823","THE ANAND MERCANTILE COOPERATIVE BANK LIMITED","TAMX"
"824","THE ANNASAHEB SAVANT CO-OP URBAN BANK MAHAD LTD.","TASX"
"825","THE BAPUNAGAR MAHILA COOP BANK LTD.","TBMX"
"826","THE BIHAR STATE CO OPERATIVE BANK LTD.","TBSX"
"827","THE BARODA TRADERS CO OP BANK LTD.","TBTX"
"828","THE CO-OPERATIVE BANK OF RAJKOT LTD.","TCBX"
"829","THE COMMERCIAL COOPERATIVE BANK LIMITED","TCCX"
"830","THE TAMILNADU CIRCLE POSTAL CO-OP BANK LTD.","TCPX"
"831","TIRUVALLUR CO-OPERATIVE URBAN BANK LIMITED","TCUX"
"832","THE THANE DIST. CENTRAL CO-OP. BANK LTD.","TDCB"
"833","THRISSUR DISTRICT COOPERATIVE BANK LTD.","TDCX"
"834","THE DHANERA MERCANTILE CO OP BANK LTD.","TDMX"
"835","THE THODUPUZHA URBAN COOP BANK LTD.","TDPX"
"836","THE NIZAMABAD DISTRICT CO-OP CENTRAL BANK LTD.","TDSX"
"837","THE TEXTILE CO OPERATIVE BANK OF SURAT LTD.","TESX"
"838","TEXTILE TRADERS CO-OPERATIVE BANK LIMITED","TETX"
"839","TRIPURA GRAMIN BANK","TGBX"
"840","TAMLUK-GHATAL CENTRAL CO-OPERATIVE BANK LTD.","TGCX"
"841","THE GANDHINAGAR NAGRIK COOPERATIVE BANK LTD.","TGNX"
"842","THE GANDHINAGAR URBAN COOP BANK LTD.","TGUX"
"843","THE THOOTHUKUDI DISTRICT CENTRAL COOP BANK LTD.","THOX"
"844","THE THIRUVANNAMALAI DISTRICT CENTRAL COOP BANK LTD.","TIDX"
"845","THE TIRUNELVELI DISTRICT CENTRAL CO-OP BANK LTD.","TIRX"
"846","THANJAVUR CENTRAL CO OP BANK LTD.","TJCX"
"847","THE KAKATIYA COOPERATIVE URBAN BANK LTD.","TKCX"
"848","THE KANNUR DISTRICT CO-OPERATIVE BANK LTD.","TKDX"
"849","THE THIRUVANANTHAPURAM DISTRICT CO-OP BANK LTD.","TNDC"
"850","THE TAMILNADU INDUSTRIAL COOPERATIVE BANK LTD.","TNIX"
"851","TRIPURA STATE COOPERATIVE BANK LTD.","TPSX"
"852","TRANSPORT CO-OPERATIVE BANK LTD.","TRAX"
"853","THE TIRUCHIRAPALLI DIST. CENT COOPERATIVE BANK LTD.","TRDX"
"854","THE SANTRAGACHI CO OPERATIVE BANK LTD.","TSCX"
"855","THE SHORANUR CO OPERATIVE URBAN BANK LTD.","TSNX"
"856","THE SAURASHTRA COOPERATIVE BANK LTD.","TSUX"
"857","THE TARN TARAN CENTRAL COOPERATIVE BANK LTD.","TTCX"
"858","TEXTILE CO-OPERATIVE BANK LTD.","TTLX"
"859","THE TIRUR URBAN COOPERATIVE BANK LTD.","TTUX"
"860","THE TRICHUR URBAN CO-OPERATIVE BANK LTD.","TUBX"
"861","TIRUPATI URBAN CO-OP. BANK LTD.","TUCX"
"862","THE UDAIPUR MAHILA URBAN CO-OP BANK LTD","TUMX"
"863","THE UNION CO-OPERATIVE BANK LTD.","TUNX"
"864","THE TURA URBAN COOP BANK LTD.","TURX"
"865","THE VELLALA CO-OPERATIVE BANK LIMITED","TVBX"
"866","URBAN COOPERATIVE BANK LTD. BASTI","UBBX"
"867","UTTAR BIHAR GRAMIN BANK","UBGX"
"868","URBAN CO-OPERATIVE BANK LTD. BAREILLY","UCBX"
"869","THE UDAIPUR CENTRAL CO-OPERATIVE BANK LTD.","UCCX"
"870","URBAN CO-OPERATIVE BANK LTD. DEHRADUN","UCDX"
"871","UTKAL GRAMEEN BANK","UGBX"
"872","UMA CO OPERATIVE BANK LTD.","UMAX"
"873","THE UMRETH URBAN CO OPERATIVE BANK LTD.","UMCX"
"874","THE UDAIPUR MAHILA SAMRIDHI URBAN CO-OP BANK LTD.","UMSX"
"875","UMIYA URBAN CO OPERATIVE BANK LTD.","UMUX"
"876","THE UNITED CO OPERATIVE BANK LTD.","UNIX"
"877","UNITED MERCANTILE CO OPERATIVE BANK LTD.","UNMX"
"878","THE UNAVA NAGRIK SAHAKARI BANK LTD.","UNSX"
"879","UTTAR PRADESH CO-OPERATIVE BANK LTD.","UPCX"
"880","URBAN CO OPERATIVA BANK LTD. SIDDHARTHNAGAR","URCX"
"881","THE URBAN CO-OPERATIVE BANK LTD. ROURKELA","UROX"
"882","UTTRAKHAND COOPERATIVE BANK LTD.","UTCX"
"883","UTTARAKHAND GRAMIN BANK","UTGX"
"884","UTTARAKHAND STATE COOPERATIVE BANK LTD.","UTKX"
"885","THE UDAIPUR URBAN CO-OP BANK LTD.","UUCX"
"886","VALSAD DISTRICT CENTRAL CO-OP BANK LTD.","VADX"
"887","VYAPARIK AUDHYOGIK SAHAKARI BANK KTD","VASX"
"888","THE VAISH CO OPERATIVE ADARSH BANK LTD.","VCAX"
"889","VISHWAS CO-OP BANK LTD.","VCBX"
"890","THE VAISH CO-OPERATIVE NEW BANK LTD","VCNB"
"891","THE VITA MERCHANTS COOP BANK LTD.","VCOX"
"892","THE VILLUPURAM DISTRICT CENTRAL CO-OP BANK LTD.","VDCX"
"893","VIDYANAND CO-OP. BANK LTD.","VDYX"
"894","THE VERAVAL MERCANTILE CO-OPERATIVE BANK LTD.","VERX"
"895","VANANCHAL GRAMIN BANK erstwhile Jharkhand rajya Gramin Bank","VGBX"
"896","VIJAY COMMERCIAL CO OPERATIVE BANK LTD.","VICX"
"897","VIDYASAGAR CENTRAL CO-OPERATIVE BANK LTD.","VIDX"
"898","VIKRAMADITYA NAGRIK SAHAKARI BANK","VIKX"
"899","THE VIRUDHUNAGAR DISTRICT CENTRAL CO-OP BANK LTD.","VIRX"
"900","THE VISAKHAPATNAM CO-OPERATIVE BANK LTD.","VISX"
"901","VIKAS SAHAKARI BANK LIMITED SOLAPUR","VKSX"
"902","VARDHAMAN (MAHILA) CO-OP. URBAN BANK LTD.","VMCX"
"903","THE VAIJAPUR MERCHANTS COOP BANK LTD.","VMMX"
"904","VIDARBHA MERCHANTS URBAN CO-OP BANK LTD.","VMUX"
"905","VIVEKANAND NAGRIK SAHKARI BANK MYDT","VNSX"
"906","THE VISHWESHWAR SAHAKARI BANK LTD.","VSBL"
"907","VIDYA SAHAKARI BANK LTD.","VSBX"
"908","VIKAS SOUHARDA CO-OPERATIVE BANK LTD.","VSCX"
"909","THE VAIDYANATH URBAN COOP BANK LTD.","VUCX"
"910","THE VALLABH VIDYANAGAR COMMERCIAL BANK LTD.","VVCX"
"911","VASAI VIKAS SAHAKARI BANK LTD.","VVSB"
"912","VYAVSAYAK SAHKARI BANK LTD.","VYAX"
"913","VYAPARI SAHAKARI BANK MARYADIT SOLAPUR","VYPX"
"914","THE WAGHODIA URBAN COOP BANK LTD.","WACX"
"915","THE WAI URBAN CO OP BANK LTD.","WAIX"
"916","THE WARANGAL DISTRICT COOPERATIVE CENTRAL BANK LTD.","WARX"
"917","WARDHAMAN URBAN CO-OPERATIVE BANK LTD. NAGPUR","WAUX"
"918","THE WEST BENGAL STATE CO-OP BANK LTD.","WBSC"
"919","THE WAYANAD DISTRICT CO-OPERATIVE BANK LTD.","WDCX"
"920","VIDHARBHA KOKAN GRAMIN BANK","WKGX"
"921","THE WASHIM URBAN CO-OPERATIVE BANK LTD.","WUCX"
"922","YAVATMAL DISTRICT CENTRAL CO-OPERATIVE BANK LTD.","YADX"
"923","THE YAVATMAL URBAN CO.OP. BANK LTD. YAVATMAL","YAVX"
"924","THE YASHWANT CO-OP BANK LTD.","YCBX"
"925","YADAGIRI LAKSHMI NARSIMHA SWAMY COOP URBAN BANK","YLNX"
"926","ZILA SAHKARI BANK LTD. BULANDSHAHAR","ZBBX"
"927","MATHURA ZILA SAHKARI BANK LTD. MATHURA","ZBSX"
"928","THE ZOROASTRIAN CO-OPERATIVE BANK LTD.","ZCBL"
"929","ZILA SAHKARI BANK LTD.BAREILLY","ZIBX"
"930","ZILA SAHKARI BANK LTD. UNNAO","ZILX"
"931","ZILA SAHKARI BANK LTD. MIRZAPUR","ZIMX"
"932","ZILA SAHKARI BANK LTD. MORADABAD","ZMMX"
"933","ZILA SAHKARI BANK LTD. MAU","ZSAX"
"934","ZILA SAHAKARI BANK LTD. BIJNOR","ZSBX"
"935","ZILA SAHKARI BANK LTD. JHANSI","ZSJX"
"936","ZILA SAHAKARI BANK LTD. LAKHIMPUR KHERI","ZSLX"
"937","ZILA SAHAKARI BANK LTD. MEERUT","ZSMX"
"938","THE DECCAN CO-OPERATIVE URBAN BANK LTD.","DCNX"
"939","THE MAHANAGAR COOPERATIVE URBAN BANK LTD.","TMNX"
"940","THE DAUND URBAN CO-OP BANK LTD.","DUCX"
"941","THE SARVODAYA NAGRIK SAHKARI BANK LTD.","SNBX"
"942","THE SARVODAYA COOP BANK LTD. MUMBAI","SACX"
"943","THE KALOL NAGARIK SAHAKARI BANK LTD.","KNBX"
"944","THE JAMNAGAR MAHILA SAHAKARI BANK LTD.","TJNX"
"945","NASHIK ZILHA SARKARI & PARISHAD KARMACHARI SB NMT","NPKX"
"946","THE VARDHAMAN CO-OP BANK LTD.","VRDX"
"947","RAJARSHI SHAHU GOVT SERVANTS COOPERATIVE BANK KOLH","RSVX"
"948","LAKHIMPUR URBAN COOPERATIVE BANK LTD.","LKHX"
"949","THE KOTTAKKAL COOPERATIVE URBAN BANK LTD.","TKTX"
"950","SUMERPUR MERCANTILE URBAN COOPERATIVE BANK LTD.","SMEX"
"951","THE GANGANAGAR KENDRIYA SAHAKARI BANK LTD.","GKNX"
"952","DHARAMVIR SAMBHAJI URBAN CO-OPERATIVE BANK LTD.","DSUX"
"953","AP JANATA COOPERATIVE URBAN BANK LTD.","APJX"
"954","D.Y.PATIL SAHAKARI BANK LTD. KOLHAPUR","DYPX"
"955","THE NANDURA URBAN COOP BANK LTD. NANDURA","TNUX"
"956","THE WOMEN'S CO-OPERATIVE BANK LTD.","WCBX"
"957","BETUL NAGRIK SAHAKARI BANK MYDT","BNBX"
"958","KUMBHI KASARI SAHKARI BANK LTD. KUDITRE","KKSX"
"959","DHAKURIA CO OP BANK LTD.","DHKX"
"960","SADHANA SAHAKARI BANK LTD. PUNE","SAHX"
"961","LONAVALA SAHAKARI BANK LTD.","LONX"
"962","THE NEELA KRISHNA COOPERATIVE URBAN BANK LTD.","TNKX"
"963","HIMATNAGAR NAGARIK SAHAKARI BANK LTD.","HMNX"
"964","THE AP MAHAJAN'S COOPERATIVE URBAN BANK LTD.","APMX"
"965","THE DARUSSALAM COOPERATIVE URBAN BANK LTD.","DCUX"
"966","VAISHYA SAHAKARI BANK LTD. MUMBAI","VAIX"
"967","SHRIKRISHNA COOPERATIVE BANK LTD. UMRER","SKCX"
"968","SARASWATI SAHAKARI BANK LTD.","SABX"
"969","SRI SUDHA COOPERATIVE BANK LTD.","SDUX"
"970","THE GANDHI COOPERATIVE URBAN BANK LTD.","GNCX"
"971","THE SIND COOPERATIVE URBAN BANK LTD.","SNDX"
"972","THE PRATHAMIK SHIKSHAK SAHAKARI BANK LTD.","PSSX"
"973","RESERVE BANK EMPLOYEES COOPERATIVE BANK LIMITED","RBCX"
"974","AHILYADEVI URBAN COOPERATIVE BANK LIMITED SOLAPUR","AHUX"
"975","THE OTTAPALAM COOPERATIVE URBAN BANK LTD.","TOCX"
"976","THE JALNA PEOPLES COOP BANK LTD. JALNA","JLNX"
"977","THE BHUJ COMMERCIAL CO-OP BANK LTD.","BHCX"
"978","THE MADANAPALLE COOPERATIVE TOWN BANK LTD.","TMAX"
"979","THE BHATKAL URBAN COOPERATIVE BANK LTD.","BHTX"
"980","KUTCH COOPERATIVE BANK LTD.","KCBX"
"981","THE BHAVASARA KSHATRIYA COOPERATIVE BANK LTD.","BKCX"
"982","JUGALKISHOR TAPDIYA SHREE MAHESH UCB AURANGABADLTD.","JTSX"
"983","THE BAGALKOT DISTRICT CENTRAL CO-OPERATIVE BANK","BODX"
"984","THE VERAVAL PEOPLES COOP BANK LTD.","TVPX"
"985","THE HOOGHLY COOPERATIVE CREDIT BANK LTD.","THCX"
"986","ABHINANDAN URBAN COOP BANK AMRAVATI","ABUX"
"987","THE NANDED MERCHANTS COOP BANK LTD. NANDED","TNMX"
"988","KRISHNA SAHAKARI BANK LTD. RETHARE BK","KSBX"
"989","THE MANGALORE COOPERATIVE TOWN BANK LTD.","TMTX"
"990","KOTESHWARA SAHAKARI BANK NIYAMITHA","KSNX"
"991","SRI KANNIKAPARAMESWARI CO-OPERATIVE BANK LIMITED","KNNX"
"992","THE KHEDA PEOPLE'S CO-OPERATIVE BANK LIMITED","KHDX"
"993","THE PANCHKULA URBAN CO-OPERATIVE BANK LMITED","PKBX"
"994","GUJARAT MERCANTILE CO-OPERATIVE BANK LIMITED","GMCX"
"995","NAVI MUMBAI CO-OPERATIVE BANK LIMITED","NMCX"
"996","THE MAHARAJA CO-OPERATIVE URBAN BANK LTD.","MUBX"
"997","SHREE THYAGARAJA CO-OPERATIVE BANK LIMITED","TYCX"
"998","THE RAJ LAXMI MAHILA URBAN COOP BANK LTD. JAIPUR","RHMX"
"999","SHREE BOTAD MERCANTILE COOP BANK LTD.","BOTX"
"1000","THE AMBIKA MAHILA SAHAKARI BANK LTD. AHMEDNAGAR","AMSX"
"1001","LOKNETE DATTAJI PATIL SAHAKARI BANK LTD.","LDPX"
"1002","KESHAV SEHKARI BANK LTD.","KESX"
"1003","AMBAJOGAI PEOPLES COOP BANK LTD.","AJPX"
"1004","PIMPRI CHINCHWAD SAHAKARI BANK MARYADIT,PIMPRI","PCPX"
"1005","BHIND NAGRIK SAHAKARI BANK MYDT","BDNX"
"1006","PUNE CANTONMENT SAHAKARI BANK LTD.","PCTX"
"1007","THE MODASA NAGARIK SAHKARI BANK LTD.","TMSX"
"1008","SHRI GANESH SAHAKARI BANK LTD.","SHGX"
"1009","THE BHANDARA URBAN CO OPERATIVE BANK LTD.","BUBX"
"1010","VEERASHAIVA SAHAKARI BANK LTD.","VSSX"
"1011","THE KRANTHI CO OPERATIVE URBAN BANK LTD.","KRTX"
"1012","SRI BANASHANKARI MAHILA COOPERATIVE BANK LTD.","SBMX"
"1013","PATAN NAGARIK SAHAKARI BANK LTD.","PTSX"
"1014","THE KHAMGAON URBAN COOP BANK LTD.","KHUX"
"1015","THE FAIZ MERCANTILE COOPERATIVE BANK LTD.,NASIK","FMCX"
"1016","PROGRESSIVE CO-OPERATIVE BANK LIMITED","PGCX"
"1017","DAPOLI URBAN CO OP BANK LTD. DAPOLI","DOBX"
"1018","THE NADIAD PEOPLES CO OP BANK LTD.","NPCX"
"1019","SAMPADA SAHAKARI BANK LTD. PUNE","SMBX"
"1020","KHARDAH COOPERATIVE BANK LTD.","KHCX"
"1021","INDORE SWAYAM MAHILA CO OP BANK LTD.","ISMX"
"1022","THE SEVALIA URBAN CO-OP BANK LTD.","SEUX"
"1023","JAIHIND URBAN CO-OP BANK, WAKAD","JAUX"
"1024","VAISHYA NAGARI SAHAKARI BANK LTD. PARBHANI","VANX"
"1025","MAHESH URBAN CO-OPERATIVE BANK LTD. PARBHANI","MCOX"
"1026","VIMA KAMGAR CO OPERATIVE BANK LIMITED","VKCX"
"1027","SHRIMANT MALOJIRAJE SAHAKARI BANK LTD., PHALTAN","SAPX"
"1028","ESAF SMALL FINANCE BANK LIMITED","ESAF"
"1029","MANJERI CO OPERATIVE URBAN BANK LTD.","MAJX"
"1030","AU SMALL FINANCE BANK LTD.","AUBL"
"1031","THE SECUNDERABAD CO OP URBAN BANK LIMITED","SOBX"
"1032","UTKARSH SMALL FINANCE BANK LTD.","UTKS"
"1033","FINCARE SMALL FINANCE BANK LTD","FINF"
"1034","NORTH EAST SMALL FINANCE BANK LTD","NESF"
"1035","DISTRICT CO OP BANK LTD FAIZABAD","FCOX"
"1036","NAGARIK SAHAKARI BANK LTD BHIWANDI","NSBB"
"1037","THE GOKAK URBAN CO OP CREDIT BANK LTD","TGCG"
"1038","THE UNION CO OP BANK LTD MAHINAGAR","TUCL"
"1039","SHRI BHARAT URBAN CO OP BANK LTD JAYSINGPUR","SBUJ"
"1040","SAMRUDDHI CO OP BANK LTD NAGPUR","SCOB"
"1041","THE MYSORE SILK CLOTH MERCHANTS CO OP BANK LTD","TMSC"
"1042","THE NAVAL DOCKYARD CO OP BANK LTD","NDCB"
"1043","ANNASAHEB MAGAR SAHAKARI BANK MARYADIT","AMSB"
"1044","JANA SMALL FINANCE BANK LTD","JSFB"
"1045","MARKETYARD COMMERCIAL CO-OPBANK LIMITED","MKYX"
