"id","Bank_Name","IFSC_Code"
"204","DMK JAOLI BANK","DMKJ"
"205","DOHA BANK QSC","DOHB"
"206","EMIRATES NBD BANK P J S C","EBIL"
"207","ESAF SMALL FINANCE BANK LIMITED","ESMF"
"208","EXPORT IMPORT BANK OF INDIA","EIBI"
"209","FINCARE SMALL FINANCE BANK LTD","FSFB"
"210","FINO PAYMENTS BANK","FINO"
"211","FIRSTRAND BANK LIMITED","FIRN"
"212","GURGAON GRAMIN BANK","GGBK"
"213","HIMACHAL PRADESH STATE COOPERATIVE BANK LTD","HPSC"
"214","IDUKKI DISTRICT CO OPERATIVE BANK LTD","IDUK"
"215","INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED","ICBK"
"216","INDUSTRIAL BANK OF KOREA","IBKO"
"217","KAPOL COOPERATIVE BANK LIMITED","KCBL"
"218","KEB Hana Bank","KOEX"
"219","KOZHIKODE DISTRICT COOPERATIAVE BANK LTD","KDCB"
"220","Maharashtra Gramin Bank","MAHG"
"221","NATIONAL AUSTRALIA BANK LIMITED","NATA"
"222","NATIONAL BANK OF ABU DHABI PJSC","NBAD"
"223","NORTH MALABAR GRAMIN BANK","NMGB"
"224","QATAR NATIONAL BANK SAQ","QNBA"
"225","RAJGURUNAGAR SAHAKARI BANK LIMITED","RSBL"
"226","SAMARTH SAHAKARI BANK LTD","SBLS"
"227","SBER BANK","SABR"
"228","SHIKSHAK SAHAKARI BANK LIMITED","SKSB"
"229","SHIVALIK MERCANTILE CO OPERATIVE BANK LTD","SMCB"
"230","SOLAPUR JANATA SAHAKARI BANK LIMITED","SJSB"
"231","State Bank of Hyderabad","SBHY"
"232","State Bank of Bikaner & Jaipur","SBBJ"
"233","State Bank of Mysore","SBMY"
"234","State Bank of Patiala","STBP"
"235","State Bank of Travancore","SBTR"
"236","TEXTILE TRADERS CO OPERATIVE BANK LTD","TTCB"
"237","THE BARAMATI SAHAKARI BANK LTD","BARA"
"238","THE DELHI STATE COOPERATIVE BANK LIMITED","DLSC"
"239","THE HARYANA STATE COOPERATIVE APEX BANK LTD","HARC"
"240","THE KANGRA COOPERATIVE BANK LIMITED","KANG"
"241","THE NAVNIRMAN CO-OPERATIVE BANK LIMITED","NVNM"
"242","THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR","PUCB"
"243","THE SINDHUDURG DISTRICT CENTRAL COOP BANK LTD","SIDC"
"244","UNITED OVERSEAS BANK LIMITED","UOVB"
"245","WESTPAC BANKING CORPORATION","WPAC"
"246","WOORI BANK","HVBK"
"247","IDFC Bank Limited","IDFC"
"248","AMBARNATH JAIHIND COOP BANK LTD AMBARNATH","AJHC"
"249","AHMEDNAGAR MERCHANTS CO-OP BANK LTD","AMDN"
"250","ANDHRA PRADESH GRAMEENA VIKAS BANK","APGV"
"251","BHAGINI NIVEDITA SAHAKARI BANK LTD PUNE","BNSB"
"252","DURGAPUR STEEL PEOPLES CO-OPERATIVE BANK LTD","DURG"
"253","INDIA POST PAYMENT BANK","IPOS"
"254","Irinjalakuda Town Co-Operative Bank Ltd","ITBL"
"255","JIO PAYMENTS BANK LIMITED","JIOP"
"256","KRUNG THAI BANK PCL","KRTH"
"257","SIR M VISVESVARAYA CO OPERATIVE BANK LTD","MVCB"
"258","NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT","NBRD"
"259","NSDL Payments Bank Limited","NSPB"
"260","IDRBT","RBIH"
"261","RESERVE BANK OF INDIA, PAD","RBIS"
"262","RAJARAMBAPU SAHAKARI BANK LIMITED","RRBP"
"263","SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA","SIDB"
"264","Shri Veershaiv Co Op Bank Ltd","SVSH"
"265","VASAI JANATA SAHAKARI BANK LTD","VASJ"
"266","AKHAND ANAND CO.OP BANK LTD.","AACX"
"267","THE AURANGABAD DISTRICT CENTRAL COOP BANK LIMITED","ABCX"
"268","DR. AMBEDKAR NAGRIK SAHAKARI BANK MYDT GWALIOR","ABDX"
"269","THE ANDHRA BANK EMPLOYEES CO OPERATIVE BANK LTD.","ABEX"
"270","THE ABHINAV SAHAKARI BANK LIMITED","ABSB"
"271","THE ASSAM COOPERATIVE APEX BANK LTD.","ACAX"
"272","ADARSH CO-OPERATIVE BANK LTD.","ACBX"
"273","ACE COOPERATIVE BANK LTD.","ACCX"
"274","ANNASAHEB CHOUGULE URBAN CO-OP BANK LTD.","ACKX"
"275","AMARNATH COOP BANK LTD.","ACOX"
"276","THE ARYAPURAM COOPERATIVE URBAN BANK LTD.","ACUB"
"277","THE AHMEDABAD DISTRICT CO-OPERATIVE BANK LTD.","ADBX"
"278","ABU DHABI COMMERCIAL BANK","ADCB"
"279","SHRI ADINATH CO-OP.BANK LTD.","ADCX"
"280","THE ADILABAD DISTRICT CO-OP CENTRAL BANK LTD.","ADDX"
"281","AGRA DISTRICT CO OPERATIVE BANK LTD.","AGDX"
"282","AGROHA COOPERATIVE URBAN BANK LTD.","AGRX"
"283","AGARTALA COOPERATIVE URBAN BANK LIMITED","AGUX"
"284","ASSAM GRAMIN VIKASH BANK","AGVX"
"285","THE AKOLA JANATA COMMERCIAL CO-OPERATIVE BANK LTD.","AJKB"
"286","AJANTHA URBAN CO-OP BANK LTD.","AJNX"
"287","THE AJARA URBAN CO-OP BANK LTD. BOM","AJUX"
"288","THE AKOLA URBAN CO OPERATIVE BANK LTD.","AKOX"
"289","ALAVI CO OPERATIVE BANK LTD.","ALAX"
"290","ALIGARH DISTRICT CO OPERATIVE BANK LTD.","ALIX"
"291","ALLAHABAD DISTRICT CO OPERATIVE BANK LTD.","ALLX"
"292","THE AHMEDABAD MERCANTILE CO-OP BANK LTD.","AMCB"
"293","THE AMRITSAR CENTRAL COOPERATIVE BANK LIMITED.","AMCX"
"294","ASTHA MAHILA NAGRIK SAHAKARI BANK MARYADIT","AMNX"
"295","ANDARSUL URBAN COOP BANK LTD. ANDARSUL","ANDX"
"296","THE AHMEDNAGAR MERCHANT'S CO-OP BANK LTD.","ANMX"
"297","ANDAMAN & NICOBAR STATE COOPERATIVE BANK LTD.","ANSX"
"298","THE ALAPPUZHA DISTRICT CO OPERATIVE BANK LTD.","APCX"
"299","ANDHRA PRADESH GRAMEENA VIKAS BANK","APGX"
"300","AP MAHESH COOPERATIVE BANK","APMC"
"301","APANI SAHAKARI BANK LTD.","APNX"
"302","ARUNACHAL PRADESH RURAL BANK","APRX"
"303","ADARNIYA P.D. PATILSAHEB SAHAKARI BANK LTD.","APSX"
"304","GRAMIN BANK OF ARYAVART","ARYX"
"305","APNA SAHAKARI BANK LTD.","ASBL"
"306","AHMEDNAGAR SHAHAR SAHAKARI BANK MARYADIT","ASBX"
"307","THE ASHTA PEOPLE'S CO-OP BANK LTD. ASHTA","ASHX"
"308","ARVIND SAHAKARI BANK LTD.","ASKX"
"309","THE ASSOCIATE CO OPERATIVE BANK LTD.","ASOX"
"310","ASHOK SAHAKARI BANK LTD.","ASSX"
"311","ALMORA URBAN CO-OPERATIVE BANK LTD.","AUCB"
"312","THE AJARA URBAN CO-OP. BANK LTD.","AUCX"
"313","THE AMRAVATI DISTRICT CENTRAL CO OP BANK LTD.","AVDX"
